DAY,# MILLION (first) DOSES ,CUMULATIVE MILLION (FIRST) DOSES,,,,,,,
7-Jul,0.714285714,137.1428571,,,,,,,
8-Jul,0.714285714,137.8571429,,,,,,,
9-Jul,0.714285714,138.5714286,,,,,,,
10-Jul,0.714285714,139.2857143,,,,,,,
11-Jul,0.714285714,140,,,,,,,
12-Jul,0.714285714,140.7142857,,,,,,,
13-Jul,0.714285714,141.4285714,,,,,,,
14-Jul,0.714285714,142.1428571,,,,,,,
15-Jul,0.714285714,142.8571429,,,,,,,
16-Jul,0.714285714,143.5714286,,,,,,,
17-Jul,0.714285714,144.2857143,,,,,,,
18-Jul,0.714285714,145,,,,,,,
19-Jul,0.714285714,145.7142857,,,,,,,
20-Jul,0.714285714,146.4285714,,,,,,,
21-Jul,0.714285714,147.1428571,,,,,,,
22-Jul,0.714285714,147.8571429,,,,,,,
23-Jul,0.714285714,148.5714286,,,,,,,
24-Jul,0.714285714,149.2857143,,,,,,,
25-Jul,0.714285714,150,,,,,,,
26-Jul,0.714285714,150.7142857,,,,,,,
27-Jul,0.714285714,151.4285714,,,,,,,
28-Jul,0.714285714,152.1428571,,,,,,,
29-Jul,0.714285714,152.8571429,,,,,,,
30-Jul,0.714285714,153.5714286,,,,,,,
31-Jul,0.714285714,154.2857143,,,,,,,
1-Aug,0.714285714,155,,,,,,,
2-Aug,0.714285714,155.7142857,,,,,,,
3-Aug,0.714285714,156.4285714,,,,,,,
4-Aug,0.714285714,157.1428571,,,,,,,
5-Aug,0.714285714,157.8571429,,,,,,,
6-Aug,0.714285714,158.5714286,,,,,,,
7-Aug,0.714285714,159.2857143,,,,,,,
8-Aug,0.714285714,160,,,,,,,
9-Aug,0.714285714,160.7142857,,,,,,,
10-Aug,0.714285714,161.4285714,,,,,,,
11-Aug,0.714285714,162.1428571,,,,,,,
12-Aug,0.714285714,162.8571429,,,,,,,
13-Aug,0.714285714,163.5714286,,,,,,,
14-Aug,0.714285714,164.2857143,,,,,,,
15-Aug,0.714285714,165,,,,,,,
16-Aug,0.714285714,165.7142857,,,,,,,
17-Aug,0.714285714,166.4285714,,,,,,,
18-Aug,0.714285714,167.1428571,,,,,,,
19-Aug,0.714285714,167.8571429,,,,,,,
20-Aug,0.714285714,168.5714286,,,,,,,
21-Aug,0.714285714,169.2857143,,,,,,,
22-Aug,0.714285714,170,,,,,,,
23-Aug,0.714285714,170.7142857,,,,,,,
24-Aug,0.714285714,171.4285714,,,,,,,
25-Aug,0.714285714,172.1428571,,,,,,,
26-Aug,0.714285714,172.8571429,,,,,,,
27-Aug,0.714285714,173.5714286,,,,,,,
28-Aug,0.714285714,174.2857143,,,,,,,
29-Aug,0.714285714,175,,,,,,,
30-Aug,0.714285714,175.7142857,,,,,,,
31-Aug,0.714285714,176.4285714,,,,,,,
1-Sep,0.714285714,177.1428571,,,,,,,
2-Sep,0.714285714,177.8571429,,,,,,,
3-Sep,0.714285714,178.5714286,,,,,,,
4-Sep,0.714285714,179.2857143,,,,,,,
5-Sep,0.714285714,180,,,,,,,
6-Sep,0.714285714,180.7142857,,,,,,,
7-Sep,0.714285714,181.4285714,,,,,,,
8-Sep,0.714285714,182.1428571,,,,,,,
9-Sep,0.714285714,182.8571429,,,,,,,
10-Sep,0.714285714,183.5714286,,,,,,,
11-Sep,0.714285714,184.2857143,,,,,,,
12-Sep,0.714285714,185,,,,,,,
13-Sep,0.714285714,185.7142857,,,,,,,
14-Sep,0.714285714,186.4285714,,,,,,,
15-Sep,0.714285714,187.1428571,,,,,,,
16-Sep,0.714285714,187.8571429,,,,,,,
17-Sep,0.714285714,188.5714286,,,,,,,
18-Sep,0.714285714,189.2857143,,,,,,,
19-Sep,0.714285714,190,,,,,,,
20-Sep,0.714285714,190.7142857,,,,,,,
21-Sep,0.714285714,191.4285714,,,,,,,
22-Sep,0.714285714,192.1428571,,,,,,,
23-Sep,0.714285714,192.8571429,,,,,,,
24-Sep,0.714285714,193.5714286,,,,,,,
25-Sep,0.714285714,194.2857143,,,,,,,
26-Sep,0.714285714,195,,,,,,,
27-Sep,0.714285714,195.7142857,,,,,,,
28-Sep,0.714285714,196.4285714,,,,,,,
29-Sep,0.714285714,197.1428571,,,,,,,
30-Sep,0.714285714,197.8571429,,,,,,,
1-Oct,0.714285714,198.5714286,,,,,,,
2-Oct,0.714285714,199.2857143,,,,,,,
3-Oct,0.714285714,200,,,,,,,
4-Oct,0,200,,,,,,,
